"filename", "language", "JSON", "JSON with Comments", "XML", "HTML", "JavaScript", "CSS", "TypeScript", "Markdown", "MDX", "Log", "comment", "blank", "total"
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-addons\essentials-toolbars-5\manager-bundle.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-addons\essentials-viewport-4\manager-bundle.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-addons\interactions-8\manager-bundle.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 3, 32
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-addons\links-0\manager-bundle.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-common-assets\fonts.css", "CSS", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 4, 32
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\GlobalScrollAreaStyles-XIHNDKUY-F4JIPIHL.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\OverlayScrollbars-VAV6LJAB-K3TMPSMY.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\WithTooltip-FBT32F6Q-7QJ37TCY.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\chunk-3FAXWWKG.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\chunk-54KM6K5Z.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
